Date,Close
4/18/2019 16:00:00,62
4/22/2019 16:00:00,65.7
4/23/2019 16:00:00,69
4/24/2019 16:00:00,63.2
4/25/2019 16:00:00,65
4/26/2019 16:00:00,66.22
4/29/2019 16:00:00,68.17
4/30/2019 16:00:00,72.47
5/1/2019 16:00:00,72.76
5/2/2019 16:00:00,75.5
5/3/2019 16:00:00,79.18
5/6/2019 16:00:00,78.24
5/7/2019 16:00:00,73.33
5/8/2019 16:00:00,77.68
5/9/2019 16:00:00,75.21
5/10/2019 16:00:00,79.63
5/13/2019 16:00:00,72.54
5/14/2019 16:00:00,73.14
5/15/2019 16:00:00,79.76
5/16/2019 16:00:00,83.4
5/17/2019 16:00:00,89.98
5/20/2019 16:00:00,84.67
5/21/2019 16:00:00,85.44
5/22/2019 16:00:00,82.43
5/23/2019 16:00:00,78.76
5/24/2019 16:00:00,76.25
5/28/2019 16:00:00,77.77
5/29/2019 16:00:00,75.77
5/30/2019 16:00:00,80.42
5/31/2019 16:00:00,79.73
6/3/2019 16:00:00,75.9
6/4/2019 16:00:00,78.74
6/5/2019 16:00:00,78.04
6/6/2019 16:00:00,79.43
6/7/2019 16:00:00,94.05
6/10/2019 16:00:00,102
6/11/2019 16:00:00,94.87
6/12/2019 16:00:00,102.77
6/13/2019 16:00:00,100.95
6/14/2019 16:00:00,100.29
6/17/2019 16:00:00,98.11
6/18/2019 16:00:00,99.64
6/19/2019 16:00:00,102.39
6/20/2019 16:00:00,102.3
6/21/2019 16:00:00,100.47
6/24/2019 16:00:00,89.41
6/25/2019 16:00:00,85.03
6/26/2019 16:00:00,86.33
6/27/2019 16:00:00,90.27
6/28/2019 16:00:00,88.79
7/1/2019 16:00:00,86.86
7/2/2019 16:00:00,85.13
7/3/2019 13:00:00,90.45
7/5/2019 16:00:00,91.88
7/8/2019 16:00:00,90.76
7/9/2019 16:00:00,90.93
7/10/2019 16:00:00,92.72
7/11/2019 16:00:00,91.4
7/12/2019 16:00:00,93.3
7/15/2019 16:00:00,99.8
7/16/2019 16:00:00,97.1
7/17/2019 16:00:00,99.73
7/18/2019 16:00:00,95.19
7/19/2019 16:00:00,93.38
7/22/2019 16:00:00,96.67
7/23/2019 16:00:00,97.39
7/24/2019 16:00:00,95.94
7/25/2019 16:00:00,97.11
7/26/2019 16:00:00,102.2
7/29/2019 16:00:00,96.47
7/30/2019 16:00:00,95.49
7/31/2019 16:00:00,95.51
8/1/2019 16:00:00,95.1
8/2/2019 16:00:00,93.66
8/5/2019 16:00:00,89.69
8/6/2019 16:00:00,90.43
8/7/2019 16:00:00,92.45
8/8/2019 16:00:00,95.77
8/9/2019 16:00:00,94.2
8/12/2019 16:00:00,92.16
8/13/2019 16:00:00,95.45
8/14/2019 16:00:00,92.65
8/15/2019 16:00:00,90.64
8/16/2019 16:00:00,92.53
8/19/2019 16:00:00,93.17
8/20/2019 16:00:00,91.41
8/21/2019 16:00:00,93.01
8/22/2019 16:00:00,93.87
8/23/2019 16:00:00,91.63
8/26/2019 16:00:00,91.76
8/27/2019 16:00:00,91.73
8/28/2019 16:00:00,90.16
8/29/2019 16:00:00,90.87
8/30/2019 16:00:00,91.67
9/3/2019 16:00:00,92.46
9/4/2019 16:00:00,93.53
9/5/2019 16:00:00,92.69
9/6/2019 16:00:00,85.41
9/9/2019 16:00:00,78.65
9/10/2019 16:00:00,80.35
9/11/2019 16:00:00,80.71
9/12/2019 16:00:00,81.53
9/13/2019 16:00:00,78.85
9/16/2019 16:00:00,80.67
9/17/2019 16:00:00,84.64
9/18/2019 16:00:00,84.55
9/19/2019 16:00:00,84.62
9/20/2019 16:00:00,82.63
9/23/2019 16:00:00,82.62
9/24/2019 16:00:00,80.02
9/25/2019 16:00:00,79.6
9/26/2019 16:00:00,79.75
9/27/2019 16:00:00,76.04
9/30/2019 16:00:00,76.2
10/1/2019 16:00:00,75.81
10/2/2019 16:00:00,73.85
10/3/2019 16:00:00,76.83
10/4/2019 16:00:00,76.53
10/7/2019 16:00:00,76.99
10/8/2019 16:00:00,73.59
10/9/2019 16:00:00,72.86
10/10/2019 16:00:00,71.01
10/11/2019 16:00:00,71.35
10/14/2019 16:00:00,70.8
10/15/2019 16:00:00,71.11
10/16/2019 16:00:00,67.69
10/17/2019 16:00:00,67.03
10/18/2019 16:00:00,66.08
10/21/2019 16:00:00,65.77
10/22/2019 16:00:00,62
10/23/2019 16:00:00,62.06
10/24/2019 16:00:00,64.52
10/25/2019 16:00:00,63.45
10/28/2019 16:00:00,66.56
10/29/2019 16:00:00,65.49
10/30/2019 16:00:00,70
10/31/2019 16:00:00,69.89
11/1/2019 16:00:00,70.39
11/4/2019 16:00:00,70.12
11/5/2019 16:00:00,66.89
11/6/2019 16:00:00,66.83
11/7/2019 16:00:00,66.81
11/8/2019 16:00:00,69.85
11/11/2019 16:00:00,68.39
11/12/2019 16:00:00,68
11/13/2019 16:00:00,68.01
11/14/2019 16:00:00,67.74
11/15/2019 16:00:00,70.01
11/18/2019 16:00:00,70.08
11/19/2019 16:00:00,69.64
11/20/2019 16:00:00,70.99
11/21/2019 16:00:00,69.92
11/22/2019 16:00:00,73.16
11/25/2019 16:00:00,74.55
11/26/2019 16:00:00,75.16
11/27/2019 16:00:00,74.08
11/29/2019 13:00:00,74.5
12/2/2019 16:00:00,68.93
12/3/2019 16:00:00,70.02
12/4/2019 16:00:00,69.96
12/5/2019 16:00:00,69.67
12/6/2019 16:00:00,62.74
12/9/2019 16:00:00,65.94
12/10/2019 16:00:00,64.57
12/11/2019 16:00:00,63.52
12/12/2019 16:00:00,62.49
12/13/2019 16:00:00,63.54
12/16/2019 16:00:00,66.35
12/17/2019 16:00:00,66.17
12/18/2019 16:00:00,67.6
12/19/2019 16:00:00,68.18
12/20/2019 16:00:00,66.93
12/23/2019 16:00:00,66.15
12/24/2019 13:00:00,66.46
12/26/2019 16:00:00,67.45
12/27/2019 16:00:00,66.64
12/30/2019 16:00:00,66.79
12/31/2019 16:00:00,68.04
1/2/2020 16:00:00,68.72
1/3/2020 16:00:00,67.28
1/6/2020 16:00:00,70.32
1/7/2020 16:00:00,71.9
1/8/2020 16:00:00,72.55
1/9/2020 16:00:00,72.62
1/10/2020 16:00:00,73.09
1/13/2020 16:00:00,74.03
1/14/2020 16:00:00,73.16
1/15/2020 16:00:00,76.94
1/16/2020 16:00:00,76.11
1/17/2020 16:00:00,75.56
1/21/2020 16:00:00,76.73
1/22/2020 16:00:00,75.61
1/23/2020 16:00:00,74.47
1/24/2020 16:00:00,73
1/27/2020 16:00:00,70.44
1/28/2020 16:00:00,71.51
1/29/2020 16:00:00,73.58
1/30/2020 16:00:00,74.54
1/31/2020 16:00:00,76.3
2/3/2020 16:00:00,87.66
2/4/2020 16:00:00,85.79
2/5/2020 16:00:00,86.99
2/6/2020 16:00:00,87.26
2/7/2020 16:00:00,88.64
2/10/2020 16:00:00,89.67
2/11/2020 16:00:00,88.68
2/12/2020 16:00:00,88.28
2/13/2020 16:00:00,89.86
2/14/2020 16:00:00,90.95
2/18/2020 16:00:00,96.39
2/19/2020 16:00:00,103.93
2/20/2020 16:00:00,105.29
2/21/2020 16:00:00,101.76
2/24/2020 16:00:00,105.01
